"topic_name","max_gamma","title"
"COVID-19",0.999953516711231,"En vivo: Venezuela suspende vuelos nacionales por coronavirus y Colombia confirma 65 casos"
"COVID-19",0.99885692067986,"Uruguay aclara: ""Jamás se pensó en Bogotá como centro para repatriación"""
"COVID-19",0.998847860528331,"Brasil, epicentro latinoamericano de la pandemia, ¿debería preocuparnos?"
"COVID-19",0.998299861160673,"Cuatro departamentos decretan toque de queda por coronavirus La medida se tomó en Quindío, Meta,"
"COVID-19",0.998066137324048,"El plan de respuesta de Colombia para la llegada del coronavirus"
"Colombia-Venezuelan Border Security",0.998871708575474,"Cerca de 19 migrantes venezolanos murieron ahogados en un naufragio"
"Colombia-Venezuelan Border Security",0.998488439282636,"19 migrantes venezolanos murieron ahogados en un naufragio"
"Colombia-Venezuelan Border Security",0.998450851279234,"Lo que se sabe del naufragio de inmigrantes venezolanos"
"Colombia-Venezuelan Border Security",0.998428521323085,"Al menos ocho muertos tras ser arrollados por conductor en Brownsville , Texas"
"Colombia-Venezuelan Border Security",0.998428521323085,"Al menos siete muertos tras ser arrollados por conductor en Brownsville , Texas"
"Darien Migration Route",0.999789077025966,"La industria migratoria del Darién, un lucrativo negocio"
"Darien Migration Route",0.999652107351559,"Así es el cruel tráfico de las mafias con migrantes venezolanos en el Tapón del Darién"
"Darien Migration Route",0.999588406384253,"Exclusivo EL TIEMPO: así funciona el negocio de los 'coyotes colombianos' del Darién"
"Darien Migration Route",0.999403849861899,"La migración por el tapón de El Darién, un negocio rentable"
"Darien Migration Route",0.999251357952036,"El pueblo de Colombia donde algunos se vuelven millonarios con la tragedia de migrantes"
"Gaza",0.999803610357692,"El Espectador le explica en qué va la tragedia del conflicto Israel-Hamás"
"Gaza",0.999648461649402,"Manifestantes piden en el Capitolio de EE. UU. un alto el fuego entre Israel y Hamás"
"Gaza",0.999624874524022,"???? En vivo: Hezbolá anuncia que está atacando a Israel desde Líbano con misiles"
"Gaza",0.999594529545648,"Hamás dijo que ""no negociará sobre los cautivos mientras esté bajo fuego israelí"""
"Gaza",0.999059149346062,"Israel intensifica bombardeos en Gaza antes de una incursión terrestre"
"Health",0.998972710393747,"Se mantiene la alerta por mala calidad del aire, Distrito pide extremar medidas"
"Health",0.998399686508755,"Moderada: así amanece la calidad del aire en Bogotá"
"Health",0.99829986146893,"Traslado en colegios distritales 2024: ¿cómo solicitar el cambio de institución?"
"Health",0.998171547702323,"Convalidar títulos de ciertos médicos de Venezuela , una idea que causa controversia"
"Health",0.997928331902266,"Estas son las razones por las que se declaró alerta amarilla en Bogotá"
"Migrant Human Trafficking",0.999300587075281,"La lacra del feminicidio, aumentan las cifras de violencia de género en Latinoamérica"
"Migrant Human Trafficking",0.999291496383567,"La lacra del feminicidio en Latinoamérica"
"Migrant Human Trafficking",0.999187168325276,"El grupo de jóvenes que buscan abolir la explotación sexual en Medellín"
"Migrant Human Trafficking",0.998957982050382,"La médica que logró que condenaran a Venezuela por violencia obstétrica"
"Migrant Human Trafficking",0.998704056361242,"En el Concejo piden investigar explotación sexual de migrantes por el Tren de Aragua"
"Venezuela Migration Crisis",0.999219186901668,"Migración venezolana en el mundo sube; cifras en Colombia pierden transparencia"
"Venezuela Migration Crisis",0.99899403810696,"¿Por qué después de fin de año urge aun más abordar la política migratoria?"
"Venezuela Migration Crisis",0.998399686187504,"Japón donó a Colombia 82 equipos de biometría para implementación del ETPV a migrantes"
"Venezuela Migration Crisis",0.998216417798992,"Integración fronteriza binacional se reinicia en puente Atanasio Girardot"
"Venezuela Migration Crisis",0.998013275181333,"Iniciativas para volver una oportunidad la migración venezolana"
"Venezuelan Migrants-US",0.99926523326426,"Conozca cuál será la estrategia de Estados Unidos tras el fin del Título 42"
"Venezuelan Migrants-US",0.998853916661837,"Así serán centros que abrirá EE.UU. para tramitar casos migratorios en Colombia"
"Venezuelan Migrants-US",0.998676525117313,"Centros de Movilidad Segura para migrantes no son para colombianos, ¿quiénes aplican?"
"Venezuelan Migrants-US",0.998428521187608,"¿Qué se sabe de los centros de EE. UU. para tramitar casos migratorios en Colombia ?"
"Venezuelan Migrants-US",0.998422837558712,"Centros de Estados Unidos en Colombia para migrantes se quedan sin citas"
